"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"43","7b4f99ee-5b3d-4b38-8361-21ce95fb6f0d","Riffle","",17,1,"",NA,0,3,1.75791743922434,2,1,2,0,0,0,77,218,NA,NA,NA,NA
"44","c6d9c231-d141-4868-a7a9-8544e0e447f2","Riffle","",19,1,"",NA,0,0,0,0,0,0,0,0,0,77,218,NA,NA,NA,NA
"45","00c1552e-a96e-4ce9-acad-f1abb1541091","Riffle","",21,1,"",NA,0,0,0,0,0,0,0,0,0,77,218,NA,NA,NA,NA
"46","b421b39f-b51e-47ff-806e-c8f6391d7fd3","Riffle","",24,1,"",NA,0,0,0,0,0,0,1,3.3,0.1516944,77,154,NA,NA,NA,NA
"47","e85be1a6-2d6f-41f4-8add-91307feb6ca8","Riffle","",26,1,"",NA,0,1,2.07345115136926,1,0,1,0,0,0,77,154,NA,NA,NA,NA
"48","4f23a9dc-81bc-4401-a49f-94f68730d313","Riffle","",28,1,"",NA,0,0,0,0,0,0,0,0,0,77,154,NA,NA,NA,NA
"49","255094ff-457b-44de-b163-508c154446f7","Riffle","",32,1,"",NA,0,1,0.75398223686155,0,0,0,0,0,0,77,154,NA,NA,NA,NA
"50","1d0f9251-d944-40ef-a65f-f3757ca811e4","Riffle","",36,1,"",NA,0,1,0.13295220109992,0,1,1,0,0,0,77,154,NA,NA,NA,NA
"51","7ef73a93-6abf-4ab7-bffa-8278d88a0237","Riffle","",38,1,"",NA,0,0,0,0,0,0,0,0,0,77,154,NA,NA,NA,NA
"52","c30176ea-fe35-4b2a-a866-ba0f19c2bd30","Riffle","",40,1,"",NA,0,0,0,0,0,0,0,0,0,77,154,NA,NA,NA,NA
"53","a9a89301-6e9e-469d-b112-e04f8faa2922","Riffle","",43,1,"",NA,0,1,1.78128303458541,1,1,1,0,0,0,77,154,NA,NA,NA,NA
"54","eb04fc60-28c6-4ecf-aeaa-0a30914318f8","Riffle","",46,1,"",NA,0,1,0.33870295796515,0,0,0,0,0,0,77,154,NA,NA,NA,NA
