"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"66","0cc262df-ca48-4209-a275-0d772dfb49ca","Riffle","",93,1,"",NA,0,0,0,0,0,0,1,7,0.6384,27.25,77,NA,NA,NA,NA
"67","2c4a64d6-e4b1-4929-813b-63b861c73178","Riffle","",40,1,"",NA,0,0,0,0,0,0,1,2.28,0.14402304,27.25,54.5,NA,NA,NA,NA
"68","c1296d7d-37a4-43a5-8981-06f9c6dbf9f7","Riffle","",42,1,"",NA,0,0,0,0,0,0,0,0,0,27.25,54.5,NA,NA,NA,NA
"69","e4b6363f-3fa5-4e5e-a32e-9dd5959bbfc1","Riffle","",44,1,"",NA,0,0,0,0,0,0,1,4,0.162,38.5,54.5,NA,NA,NA,NA
"70","29625c69-4d80-4a99-ac30-e470849d49cd","Riffle","",51,1,"",NA,0,1,2.01061929829747,1,1,1,0,0,0,38.5,54.5,NA,NA,NA,NA
"71","1fdc0ffe-ba24-45f0-a66b-8d84a915eb7a","Riffle","",54,1,"",NA,0,0,0,0,0,0,0,0,0,38.5,54.5,NA,NA,NA,NA
"72","88e2e5d3-2df3-40b5-8317-d4a5088948eb","Riffle","",58,1,"",NA,0,1,0.424115008234622,0,0,0,0,0,0,38.5,54.5,NA,NA,NA,NA
"73","c0206909-4db5-4041-965d-f19f4efa7043","Riffle","",62,1,"",NA,0,0,0,0,0,0,3,23,1.954726,38.5,54.5,NA,NA,NA,NA
"74","b30f9c2f-fee3-4d11-a090-3a3f8e24d882","Riffle","",65,1,"",NA,0,0,0,0,0,0,1,11,1.1,38.5,54.5,NA,NA,NA,NA
"75","32c906c7-0655-418f-a54a-091b76fa12f8","Riffle","",67,1,"",NA,0,0,0,0,0,0,1,14,0.700112,38.5,54.5,NA,NA,NA,NA
